Dates,AAPL.O,AMGN.O,AXP,BA,CAT,CRM,CSCO.O,CVX,DIS,DOW,GS,HD,HON.O,IBM,INTC.O,JNJ,JPM,KO,MCD,MMM,MRK,MSFT.O,NKE,PG,TRV,UNH,V,VZ,WBA.O,WMT
04/01/2010,7.64,57.7153,40.92,56.18,58.55,18.705,24.69,79.06,32.07,NULL,173.08,28.67,38.41306463,126.5114718,20.88,64.68,42.85,28.52,62.78,83.02,35.28999726,30.95,16.3375,61.12,49.81,31.53,22.035,31.10788096,37.3,54.23
05/01/2010,7.66,57.22,40.83,58.02,59.25,18.625,24.58,79.62,31.99,NULL,176.14,28.88,38.48922436,124.9832094,20.87,63.93,43.68,28.175,62.3,82.5,35.43302616,30.96,16.4025,61.14,48.63,31.48,21.7825,31.16396488,37,53.69
06/01/2010,7.53,56.79,41.49,59.78,59.43,18.5925,24.42,79.63,31.82,NULL,174.26,28.78,38.48922436,124.17132,20.8,64.45,43.92,28.165,61.45,83.67,35.90978916,30.77,16.3025,60.85,47.94,31.79,21.49,29.83664544,36.72,53.57
07/01/2010,7.52,56.27,41.98,62.2,59.67,18.51,24.53,79.33,31.83,NULL,177.67,29.12,39.23178174,123.7414962,20.6,63.99,44.79,28.095,61.9,83.73,35.96700072,30.452,16.4625,60.52,48.63,33.01,21.69,29.65904636,36.94,53.6
08/01/2010,7.57,56.77,41.95,61.6,60.34,18.5375,24.66,79.47,31.88,NULL,174.31,28.98,40.09809869,124.9832094,20.83,64.21,44.68,27.575,61.84,84.32,35.9479302,30.66,16.43,60.44,48.56,32.7,21.75,29.677741,36.99,53.33
11/01/2010,7.50,57.02,41.47,60.87,64.13,18.4125,24.59,80.88,31.36,NULL,171.56,28.16,40.60265691,123.6746347,20.95,64.22,44.53,28.135,62.32,83.98,36.0909591,30.27,16.2275,60.2,48.54,32.92,21.6875,29.79925616,37.05,54.21
12/01/2010,7.42,56.03,42.02,60.43,62.24,17.0725,24.2,80.41,30.82,NULL,167.82,27.98,40.14569852,124.6584536,20.608,64.56,43.49,28.44,62.66,84.05,35.8049013,30.07,16.205,60.89,48.85,32.05,21.585,29.82729812,36.74,54.73
13/01/2010,7.52,56.53,42.15,61.16,62.33,17.125,24.64,79.8,31.29,NULL,169.07,28.13,40.28849802,124.3910077,20.96,64.97,44.25,28.515,62.59,83.78,37.12076718,30.35,16.35,61.52,49.02,32.54,21.785,29.78990884,37.08,55.01
14/01/2010,7.48,56.16,42.68,61.56,61.98,17.2975,24.95,79.55,31.02,NULL,168.53,28.3,40.52649718,126.3777488,21.48,65.1,44.69,28.565,62.65,83.5,38.13150474,30.96,16.2475,61.58,49.28,33.32,21.86,29.18233304,37.11,54.21
15/01/2010,7.35,56.25,42.39,60.82,60.12,17.1575,24.4,79.23,30.6,NULL,165.21,28.57,40.58361698,125.8715119,20.8,64.56,43.68,28.145,62.28,83.37,37.63567122,30.86,16.0975,60.82,48.79,33.75,21.535,28.58410456,36.6,53.68
19/01/2010,7.68,57.55,42.96,60.65,60.93,17.375,24.85,79.68,31.01,NULL,166.86,28.88,40.79305624,128.125699,21.05,65.35,43.28,28.21,63.48,85.12,38.73222612,31.1,16.1775,61.72,49.43,35.13,21.9625,29.19168036,36.74,54.03
20/01/2010,7.56,57.2,42.98,60.2,59.76,17.1375,24.41,78.15,31.19,NULL,167.79,28.66,40.32657788,124.410111,21.08,65.15,43.4,27.75,63.01,84.72,39.12317178,30.585,16.045,60.45,48.93,34.55,21.855,28.70561972,36.95,53.86
21/01/2010,7.43,56.63,42.16,59.2,56.85,16.72,23.98,76.24,30.61,NULL,160.87,28.48,38.77482335,123.216156,20.84,63.97,40.54,27.185,63.2,82.7,38.21732208,30.01,15.91,59.84,48.95,33.1,21.1125,28.63084116,36.45,52.92
22/01/2010,7.06,56.6,38.59,57.77,54.25,16.135,22.97,74.59,29.98,NULL,154.12,27.72,37.9656262,119.873082,19.91,63.2,39.16,27.12,63.39,81.48,37.06355562,28.96,15.745,60.31,48.31,33.16,20.6825,28.35976888,35.99,52.94
25/01/2010,7.25,55.71,37.79,57.78,55.14,16.0325,22.99,74.55,29.92,NULL,154.98,27.62,38.28930506,120.4652837,20.32,63.22,39.21,27.175,63.09,81.83,36.95866776,29.32,15.9175,60.63,48.89,33,20.5075,28.67757776,36.67,52.88
26/01/2010,7.35,56.58,38.1,57.71,55.85,16.3525,22.9,74.15,29.66,NULL,150.88,27.73,38.0513059,120.111873,20,62.79,38.44,27.07,63.81,81.63,36.78703308,29.5,15.935,60.69,50.23,32.44,20.2875,28.20086444,36.17,53.61
27/01/2010,7.42,57.74,38.67,61.93,53.44,16.35,23.15,73.7,29.32,NULL,151.5,27.84,38.32738493,120.6658681,20.24,63.44,39.33,27.255,63.73,82.3,36.84424464,29.67,16,60.81,50.9,33.24,20.9775,27.92044484,36.7,53.4
28/01/2010,7.12,58.08,37.43,62.56,51.86,16.04,22.52,73.24,29.35,NULL,153.29,27.34,37.90850641,118.201545,19.92,63.8,39.48,27.09,62.83,80.75,36.20538222,29.16,15.88,61.68,50.27,33.43,20.6625,27.41568956,36.4,52.61
29/01/2010,6.86,58.48,37.66,60.6,52.24,15.8875,22.47,72.12,29.55,NULL,148.72,28.01,36.78515036,116.902522,19.4,62.86,38.94,27.125,62.43,80.49,36.40562268,28.18,15.9375,61.55,50.67,33,20.5075,27.49981544,36.05,53.43
01/02/2010,6.95,58.72,38.21,61.7,52.94,16.295,22.73,73.58,29.52,NULL,153.13,28.39,37.48010792,119.0802959,19.61,63.09,39.63,27.19,63.89,80.44,36.5200458,28.41,16.025,61.99,50.69,33.13,20.915,27.67741452,36.38,53.48
02/02/2010,6.99,59.23,39.02,61.94,53.55,16.265,23.02,74.45,29.98,NULL,156.94,29.03,37.62290741,119.9017369,19.91,63.99,40.55,27.525,64.03,80.43,37.70241804,28.46,15.9825,62.9,51.09,34.05,21.0025,27.78958236,36.78,53.49
03/02/2010,7.12,59.07,38.33,61.46,53.39,16.405,23.07,73.21,30.75,NULL,157.23,28.47,37.32778845,120.0259082,19.68,63.63,40.29,27.435,65.21,81.5,36.92052672,28.63,16,62.65,50.57,33.32,20.88,27.28482708,34.62,54.27
04/02/2010,6.86,57.53,37.53,59.32,51.4,15.6075,23.16,71.37,29.67,NULL,150.68,27.93,35.91883342,117.485172,19.02,62.64,38.35,26.715,64.06,79.21,35.3758146,27.84,15.5225,61.4,49.73,32.46,20.7625,26.76137716,33.45,52.97
05/02/2010,6.98,57.68,37.85,58.4,51.75,15.52,23.7,71.18,29.54,NULL,154.16,27.98,35.67131429,117.9818573,19.47,62.64,38.3,26.545,63.37,78.54,35.02300998,28.02,15.425,61.3,50.28,32.54,20.64,26.86419768,33.31,53.45
08/02/2010,6.93,57.46,36.79,57.89,50.78,15.53,23.499,70.13,29.48,NULL,151.1,28.59,35.1001163,116.4153883,19.35,62.37,37.7,26.325,62.92,77.53,34.88951634,27.72,15.325,61.01,49.05,32.41,20.7625,26.51834684,33.29,52.93
09/02/2010,7.01,57.21,37.54,59.74,53.53,16.165,23.89,71.31,29.84,NULL,152.49,28.87,36.00451312,117.6857564,19.65,62.76,38.39,27.005,63.57,78.72,34.77509322,28.01,15.6275,61.76,49.57,33,20.8175,26.873545,33.61,53.25
10/02/2010,6.97,56.84,37.75,59.54,53.15,16.1825,23.76,70.75,30.03,NULL,153.63,28.65,35.90931345,117.3036908,19.69,62.73,38.87,26.895,63.25,78.62,34.5176412,27.99,15.66,61.67,49.69,32.71,20.91,26.98571284,33.3,53.24
